BEGINNING EPISODE0
BEGINNING TRIAL
((1, 1), 3) | ((1, 0), 3)
((2, 1), 3) | ((1, 0), 3)
((3, 1), 3) | ((1, 0), 3)
((4, 1), 3) | ((1, 0), 3)
((5, 1), 3) | ((0, 1), 3)
((5, 2), 3) | ((0, 1), 3)
((5, 3), 3) | ((0, 1), 3)
((5, 4, 'EAST', 'door-closed'), 3) | ('open', 1)
Feedback: no
((5, 4, 'EAST', 'door-closed'), 3) | ('open', 0)
((5, 4, 'EAST', 'door-open'), 3) | ((0, 1), 3)
