121.0,97.0,125.0,101.0,96.0,96.0,96.0,88.0,96.0,96.0,
35.0,35.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,
54.0,54.0,43.0,43.0,41.0,43.0,43.0,43.0,43.0,43.0,
130.0,127.0,123.0,114.0,114.0,111.0,111.0,111.0,111.0,111.0,
102.0,102.0,90.0,96.0,104.0,101.0,101.0,101.0,101.0,76.0,
141.0,141.0,133.0,116.0,137.0,118.0,120.0,114.0,116.0,123.0,
99.0,106.0,88.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,
128.0,115.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,
137.0,138.0,122.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,
117.0,108.0,98.0,99.0,98.0,92.0,92.0,92.0,92.0,92.0,
135.0,109.0,116.0,100.0,111.0,98.0,102.0,102.0,98.0,98.0,
120.0,120.0,120.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,
116.0,121.0,105.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,
122.0,125.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,
101.0,100.0,75.0,71.0,71.0,75.0,74.0,74.0,74.0,74.0,
99.0,110.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,
122.0,122.0,93.0,91.0,99.0,85.0,95.0,91.0,91.0,91.0,
101.0,103.0,89.0,89.0,85.0,85.0,85.0,85.0,85.0,85.0,
107.0,97.0,91.0,94.0,90.0,90.0,88.0,94.0,88.0,88.0,
57.0,57.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,
133.0,144.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,
144.0,147.0,150.0,123.0,117.0,117.0,119.0,117.0,117.0,119.0,
83.0,82.0,94.0,110.0,94.0,94.0,105.0,88.0,99.0,103.0,
36.0,36.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,
119.0,124.0,138.0,107.0,107.0,103.0,105.0,94.0,103.0,105.0,
102.0,99.0,89.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,
117.0,118.0,126.0,137.0,110.0,110.0,110.0,110.0,110.0,110.0,
124.0,99.0,118.0,98.0,98.0,98.0,98.0,98.0,98.0,91.0,
85.0,116.0,91.0,92.0,88.0,90.0,88.0,88.0,88.0,88.0,
122.0,115.0,90.0,110.0,98.0,98.0,98.0,98.0,98.0,98.0,
117.0,118.0,105.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
40.0,51.0,48.0,48.0,48.0,40.0,48.0,48.0,48.0,48.0,
114.0,114.0,93.0,93.0,119.0,93.0,97.0,95.0,93.0,93.0,
139.0,138.0,137.0,115.0,111.0,111.0,122.0,115.0,115.0,115.0,
120.0,129.0,141.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,
148.0,132.0,121.0,115.0,115.0,115.0,126.0,135.0,132.0,133.0,
41.0,41.0,39.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,
125.0,152.0,127.0,109.0,100.0,100.0,100.0,100.0,104.0,100.0,
133.0,132.0,132.0,114.0,111.0,111.0,111.0,111.0,111.0,111.0,
111.0,106.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,
126.0,127.0,112.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,
33.0,33.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,
86.0,104.0,107.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
49.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,
77.0,66.0,69.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,
142.0,152.0,128.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,
90.0,120.0,105.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
37.0,37.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,
140.0,139.0,138.0,124.0,121.0,121.0,121.0,121.0,121.0,121.0,
42.0,42.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,
126.0,140.0,140.0,169.0,119.0,119.0,119.0,119.0,119.0,119.0,
107.0,127.0,101.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,
117.0,146.0,131.0,130.0,153.0,127.0,121.0,123.0,132.0,153.0,
39.0,39.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,
102.0,90.0,104.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,
33.0,33.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,
