level,region,obstacle,visibility,streettype,feedback
2,r2,light,high,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,high,oneway,yes
2,r1,light,high,twoway,yes
2,r1,light,high,twoway,yes
2,r1,light,high,twoway,no
2,r2,light,high,oneway,yes
2,r2,light,high,oneway,yes
2,r2,light,low,oneway,no
2,r2,light,low,oneway,yes
2,r1,light,high,twoway,yes
2,r1,light,high,twoway,yes
2,r2,light,high,oneway,yes
2,r2,light,low,oneway,no
2,r1,light,high,twoway,yes
2,r1,light,high,twoway,yes
2,r1,light,high,twoway,yes
2,r1,light,high,twoway,yes
